negocio_id,porc_crecimiento_anual,calificacion_desempeno,anaquel_competencia,anaquel_negocio,respeto,poblacion_zona_negocio,clase_negocio,ingreso_promedio_m,enfriador
0,0.415636698,0.8550000000000001,0,2,1.0,1905.0,B,8373,1.0
1,0.31825022399999997,0.49499999999999994,1,2,0.0,8098.0,B,6612,1.0
2,0.803591019,0.355,0,3,0.0,3925.0,B,4078,1.0
3,0.18839821099999998,0.895,0,3,1.0,3094.0,A,6985,1.0
4,0.171866851,0.745,1,2,0.75,8098.0,B,16907,1.0
5,-0.024014477000000006,0.6950000000000001,0,3,1.0,2406.0,B,7881,1.0
6,0.763809772,0.535,0,2,1.0,3655.0,B,6250,1.0
7,0.224712864,0.9450000000000001,1,3,1.0,8098.0,A,21783,1.0
8,0.36448635,0.7250000000000001,1,3,1.0,4461.0,B,24535,1.0
9,0.039526076,0.7050000000000001,0,2,1.0,3245.0,B,10430,1.0
10,0.28710236,0.875,3,4,1.0,5540.0,A,23933,2.0
11,0.319738273,0.711666667,8,4,1.0,5212.0,B,112998,2.0
12,0.091268748,0.7816666670000001,4,2,1.0,3840.0,B,6039,1.0
13,0.007380205000000001,0.465,0,3,0.0,4285.0,B,8672,1.0
14,0.833234214,0.9750000000000001,0,4,1.0,4791.0,A,14333,2.0
15,0.004485778999999995,0.135,0,2,0.0,3899.0,B,6357,1.0
16,0.24040754199999997,0.775,0,4,1.0,4878.0,A,15311,2.0
17,0.026936942,0.9650000000000001,2,4,1.0,3005.0,A,13387,2.0
18,0.193668221,0.5750000000000001,0,2,1.0,3004.0,B,6137,1.0
19,0.22695652500000002,0.8400000000000001,1,3,1.0,4508.0,B,3584,1.0
20,1.71914465,0.875,0,3,1.0,4431.0,A,8401,1.0
21,0.238586554,0.655,1,2,1.0,2406.0,B,12293,1.0
22,0.06889299,0.935,0,2,1.0,2532.0,B,8235,1.0
23,0.174703074,0.7975000000000001,0,2,1.0,2778.0,B,5210,1.0
24,0.261509178,0.935,3,4,1.0,3655.0,A,11873,2.0
25,0.171245123,0.895,2,4,1.0,4949.0,A,20538,2.0
26,0.6494640669999999,0.8150000000000001,2,3,1.0,4461.0,A,18264,1.0
27,0.511988867,0.8450000000000001,1,3,1.0,2518.0,A,11799,1.0
28,0.708425283,0.8550000000000001,2,3,1.0,4949.0,A,24524,1.0
29,0.257190732,0.931666667,1,3,1.0,3304.0,A,19935,1.0
30,0.011597969999999999,0.81,1,4,1.0,5540.0,A,24753,2.0
31,0.399557714,0.48500000000000004,2,2,1.0,3005.0,B,19257,1.0
32,0.380826648,0.8450000000000001,0,2,0.0,3899.0,B,11730,1.0
33,0.905350793,0.505,1,2,0.0,4949.0,A,14062,2.0
34,1.127369103,0.935,0,4,1.0,5212.0,A,12312,1.0
35,0.085771479,0.445,0,1,1.0,8098.0,B,7983,1.0
36,0.9428388879999999,0.915,0,3,1.0,3740.0,B,9328,1.0
37,0.004786436999999991,0.905,0,2,1.0,3925.0,B,5265,1.0
38,0.16137095,0.755,0,3,1.0,4115.0,B,8288,1.0
39,-0.496428571,0.185,1,0,0.0,4115.0,B,4263,
40,0.6044694509999999,0.525,0,3,0.0,3138.0,B,21134,1.0
41,0.105517273,0.8550000000000001,0,3,1.0,5249.0,B,27208,1.0
42,-0.14948787200000002,0.661,0,2,1.0,2545.0,B,29467,1.0
43,0.186485318,0.7716666670000001,1,2,1.0,4014.0,B,16337,1.0
44,0.38984738,0.875,0,2,0.0,3035.0,B,9814,1.0
